Component #1,Component #2,Component #3,x1,x2,x3,T_melting /K
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.35,0.65,-,320.0
PALMITIC ACID,DECANOIC ACID,-,0.4,0.6,-,320.07
ZINCCHLORIDE,BENZOYLCHOLINE CHLORIDE,-,0.667,0.333,-,320.15
CHOLINE CHLORIDE,D-SORBITOL,-,0.524,0.476,-,320.312
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.331,0.669,-,320.3139
TETRAETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.188,0.812,-,320.35
PALMITIC ACID,TETRADECANOIC ACID,-,0.302,0.698,-,320.42
CHOLINE CHLORIDE,GLUTARIC ACID,-,0.399,0.601,-,320.45
THYMOL,PALMITIC ACID,-,0.6,0.4,-,320.48
CHOLINE CHLORIDE,D-XYLOSE,-,0.498,0.502,-,320.62
PALMITIC ACID,TETRADECANOIC ACID,-,0.35,0.65,-,320.64
LIMONENE,TETRADECANOIC ACID,-,0.667,0.333,-,320.65
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.401,0.599,-,320.68
CHOLINE CHLORIDE,1-HEXADECANOL,-,0.408,0.592,-,320.78
1-HEXADECANOL,THYMOL,-,0.897,0.103,-,320.8
1.3-DITHIANE,1.3.5-TRIFLUORO-2.4.6-TRIIODOBENZENE,-,0.88,0.12,-,320.85
LIMONENE,TETRADECANOIC ACID,-,0.5,0.5,-,320.85
CHOLINE CHLORIDE,1-HEXADECANOL,-,0.396,0.604,-,320.95
1-HEXADECANOL,L-MENTHOL,-,0.896,0.104,-,321.0
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.25,0.75,-,321.06
TETRAETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.206,0.794,-,321.06
ZINC DIBROMIDE,ACETYLCHOLINE CHLORIDE,-,0.667,0.333,-,321.15
CHOLINE CHLORIDE,ACETAMINOPHEN,-,0.504,0.496,-,321.18
PALMITIC ACID,TETRADECANOIC ACID,-,0.396,0.604,-,321.18
TETRAMETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.315,0.685,-,321.25
PALMITIC ACID,TETRADECANOIC ACID,-,0.55,0.45,-,321.27
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.392,0.608,-,321.45
CHOLINE CHLORIDE,2.3-DIHYDROXYSUCCINIC ACID,-,0.673,0.327,-,321.55
TETRAETHYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.412,0.588,-,321.65
TETRABUTYLAMMONIUM CHLORIDE,STEARYL ALCOHOL,-,0.595,0.405,-,321.7
PALMITIC ACID,TETRADECANOIC ACID,-,0.498,0.502,-,321.75
CHOLINE CHLORIDE,O-CRESOL,-,0.399,0.601,-,321.8
STEARYL ALCOHOL,THYMOL,-,0.6,0.4,-,321.8
CHOLINE CHLORIDE,D-SORBITOL,-,0.385,0.615,-,321.875
PALMITIC ACID,LAURIC ACID,-,0.5,0.5,-,321.88
TETRABUTYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.8,0.2,-,321.9
TETRABUTYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.102,0.898,-,321.9
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.406,0.594,-,321.91
1.10-PHENANTHROLINE,THYMOL,-,0.405,0.595,-,321.9421
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.201,0.799,-,321.95
CHOLINE CHLORIDE,ERYTHRITOL,-,0.502,0.498,-,321.973
PALMITIC ACID,TETRADECANOIC ACID,-,0.45,0.55,-,321.99
LITHIUM HEXAFLUOROPHOSPHATE,N-METHYLACETAMIDE,-,0.26,0.74,-,322.086
STEARIC ACID,LAURIC ACID,-,0.3,0.7,-,322.13
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.333,0.667,-,322.17
TETRABUTYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.799,0.201,-,322.2
CHOLINE CHLORIDE,(3R.4S.5S)-OXANE-2.3.4.5-TETROL,-,0.503,0.497,-,322.22
CHOLINE CHLORIDE,1-HEXADECANOL,-,0.332,0.668,-,322.28
TETRAMETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.303,0.697,-,322.28
STEARYL ALCOHOL,L-MENTHOL,-,0.5,0.5,-,322.3
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,CHOLINE CHLORIDE,-,0.75,0.25,-,322.333
CHOLINE CHLORIDE,L-MENTHOL,-,0.1,0.9,-,322.4
THYMOL,TETRADECANOIC ACID,-,0.2,0.8,-,322.41
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,ETHYLENE GLYCOL,-,0.4,0.6,-,322.42
TETRAPROPYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.197,0.803,-,322.45
THYMOL,STEARIC ACID,-,0.8,0.2,-,322.48
TETRADECANOIC ACID,DECANOIC ACID,-,0.803,0.197,-,322.49
1.10-PHENANTHROLINE,CHLOROTHYMOL,-,0.209,0.791,-,322.5207
CHOLINE CHLORIDE,1-HEXADECANOL,-,0.306,0.694,-,322.55
CHOLINE CHLORIDE,1-HEXADECANOL,-,0.208,0.792,-,322.73
PALMITIC ACID,DECANOIC ACID,-,0.497,0.503,-,322.75
L-MENTHOL,PALMITIC ACID,-,0.6,0.4,-,322.82
L-MENTHOL,TETRADECANOIC ACID,-,0.2,0.8,-,322.84
TETRABUTYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.493,0.507,-,322.9
L-MENTHOL,STEARIC ACID,-,0.7,0.3,-,322.99
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,GLYCEROL,-,0.167,0.833,-,323.15
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-. METHANESULFONATE (1:1) (ACI),LEVULINIC ACID,-,0.494,0.506,-,323.188
TETRADECANOIC ACID,LAURIC ACID,-,0.8,0.2,-,323.24
1.3-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.898,0.102,-,323.256
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.491,0.509,-,323.3
CHOLINE CHLORIDE,1-HEXADECANOL,-,0.132,0.868,-,323.35
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.409,0.591,-,323.35
TETRAPROPYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.2,0.8,-,323.45
TRIOCTYLPHOSPHINE OXIDE,PHENOL,-,0.9,0.1,-,323.45
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,GLYCEROL,-,0.167,0.833,-,323.51
LITHIUM NITRATE,N-METHYLACETAMIDE,-,0.64,0.36,-,323.597
CHOLINE CHLORIDE,2.3-DIMETHYLPHENOL,-,0.332,0.668,-,323.6
IBUPROFEN,PALMITIC ACID,-,0.5,0.5,-,323.69
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.311,0.689,-,323.75
TETRAMETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.12,0.88,-,323.85
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.296,0.704,-,323.95
PALMITIC ACID,TETRADECANOIC ACID,-,0.15,0.85,-,324.04
TETRABUTYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.725,0.275,-,324.1
CHOLINE CHLORIDE,MALONIC ACID,-,0.349,0.651,-,324.157
CHOLINE CHLORIDE,ACETAMIDE,-,0.33,0.67,-,324.16
CHOLINE CHLORIDE,LAURIC ACID,-,0.446,0.554,-,324.2
1.3-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.099,0.901,-,324.214
THYMOL,PALMITIC ACID,-,0.5,0.5,-,324.31
TETRAETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.106,0.894,-,324.35
STEARIC ACID,DECANOIC ACID,-,0.296,0.704,-,324.43
TETRABUTYLAMMONIUM CHLORIDE,STEARYL ALCOHOL,-,0.201,0.799,-,324.5
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.6,0.4,-,324.55
STEARYL ALCOHOL,THYMOL,-,0.699,0.301,-,324.6
LIMONENE,TETRADECANOIC ACID,-,0.333,0.667,-,324.75
TETRAETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.104,0.896,-,324.97
L-MENTHOL,TETRADECANOIC ACID,-,0.1,0.9,-,324.97
CHOLINE CHLORIDE,2.3-DIMETHYLPHENOL,-,0.167,0.833,-,325.0
TETRABUTYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.596,0.404,-,325.0
TETRADECANOIC ACID,DECANOIC ACID,-,0.901,0.099,-,325.01
IBUPROFEN,LAURIC ACID,-,0.708,0.292,-,325.03
STEARYL ALCOHOL,L-MENTHOL,-,0.6,0.4,-,325.1
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.406,0.594,-,325.13
L-MENTHOL,PALMITIC ACID,-,0.5,0.5,-,325.36
CHOLINE CHLORIDE,PHENYLACETIC ACID,-,0.252,0.748,-,325.483
THYMOL,STEARIC ACID,-,0.7,0.3,-,325.51
PALMITIC ACID,TETRADECANOIC ACID,-,0.1,0.9,-,325.54
IRON(3+) TRICHLORIDE,BUTYLTRIPHENYLPHOSPHONIUM BROMIDE,-,0.6,0.4,-,325.67
TETRADECANOIC ACID,LAURIC ACID,-,0.9,0.1,-,325.72
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.316,0.684,-,325.75
TETRABUTYLAMMONIUM CHLORIDE,STEARYL ALCOHOL,-,0.686,0.314,-,325.8
THYMOL,TETRADECANOIC ACID,-,0.1,0.9,-,325.83
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.753,0.247,-,325.833
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.249,0.751,-,325.833
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.311,0.689,-,325.95
CHOLINE CHLORIDE,OXALIC ACID,-,0.45,0.55,-,326.0
TETRABUTYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.799,0.201,-,326.0
PALMITIC ACID,TETRADECANOIC ACID,-,0.6,0.4,-,326.0
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.302,0.698,-,326.01
CHOLINE CHLORIDE,IBUPROFEN,-,0.396,0.604,-,326.05
PALMITIC ACID,DECANOIC ACID,-,0.601,0.399,-,326.06
PALMITIC ACID,LAURIC ACID,-,0.6,0.4,-,326.06
CHOLINE CHLORIDE,XYLITOL,-,0.552,0.448,-,326.07
1.4-DITHIANE,1.2-DIIODOTETRAFLUOROBENZENE,-,0.17,0.83,-,326.15
BETAINE,BENZOIC ACID,-,0.4,0.6,-,326.15
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.208,0.792,-,326.2
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.215,0.785,-,326.33
TETRAPROPYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.1,0.9,-,326.35
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.218,0.782,-,326.417
CHOLINE CHLORIDE,GLUTARIC ACID,-,0.352,0.648,-,326.58
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.254,0.746,-,326.5919
TETRAPROPYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.099,0.901,-,326.62
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.101,0.899,-,326.65
TETRABUTYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.183,0.817,-,326.8
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.108,0.892,-,326.98
ZINCCHLORIDE,ETHYLTRIMETHYLAMMONIUM CHLORIDE,-,0.667,0.333,-,327.15
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.31,0.69,-,327.25
TETRAPROPYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.398,0.602,-,327.25
STEARYL ALCOHOL,L-MENTHOL,-,0.7,0.3,-,327.3
L-MENTHOL,PALMITIC ACID,-,0.41,0.59,-,327.3
TETRABUTYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.386,0.614,-,327.4
CHOLINE CHLORIDE,THYMOL,-,0.3,0.7,-,327.4
THYMOL,PALMITIC ACID,-,0.4,0.6,-,327.45
TETRAMETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.099,0.901,-,327.5
CHOLINE CHLORIDE,TETRADECANOIC ACID,-,0.502,0.498,-,327.68
STEARIC ACID,DECANOIC ACID,-,0.403,0.597,-,327.79
STEARYL ALCOHOL,THYMOL,-,0.799,0.201,-,327.9
TETRAPROPYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.4,0.6,-,327.92
1H-IMIDAZOLIUM. 3-[2-[(1R.5S)-6.6-DIMETHYLBICYCLO[3.1.1]HEPT-2-EN-2-YL]ETHYL]-1-METHYL-. METHANESULFONATE (1:1) (ACI),UREA,-,0.252,0.748,-,327.941
CHOLINE CHLORIDE,OXALIC ACID,-,0.4,0.6,-,328.0
PALMITIC ACID,TETRADECANOIC ACID,-,0.651,0.349,-,328.01
TETRAETHYLAMMONIUM BROMIDE,PIMELIC ACID,-,0.56,0.44,-,328.1
2-FLUORO-N.N.N-TRIMETHYLETHAN-1-AMINIUM CHLORIDE,UREA,-,0.67,0.33,-,328.15
CHROMIUM(3+) TRICHLORIDE HEXAHYDRATE,UREA,-,0.753,0.247,-,328.1614
TETRABUTYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.682,0.318,-,328.2
CHOLINE CHLORIDE,ERYTHRITOL,-,0.451,0.549,-,328.251
TETRAMETHYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.4,0.6,-,328.3
1.10-PHENANTHROLINE,CHLOROTHYMOL,-,0.106,0.894,-,328.3058
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.502,0.498,-,328.32
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.492,0.508,-,328.48
BETAINE,THYMOL,-,0.397,0.603,-,328.5
CHOLINE CHLORIDE,UREA,-,0.502,0.498,-,328.501
CHOLINE CHLORIDE,UREA,-,0.251,0.749,-,328.501
STEARIC ACID,LAURIC ACID,-,0.399,0.601,-,328.53
CHOLINE CHLORIDE,D-CAMPHOR,-,0.499,0.501,-,328.7
CHOLINE CHLORIDE,DECANOIC ACID,-,0.456,0.544,-,328.75
IBUPROFEN,PALMITIC ACID,-,0.403,0.597,-,328.79
PALMITIC ACID,DECANOIC ACID,-,0.701,0.299,-,328.87
TETRABUTYLAMMONIUM CHLORIDE,STEARYL ALCOHOL,-,0.101,0.899,-,328.9
STEARYL ALCOHOL,L-MENTHOL,-,0.8,0.2,-,328.9
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,GLYCEROL,-,0.333,0.667,-,328.91
TETRABUTYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.796,0.204,-,329.0
THYMOL,PALMITIC ACID,-,0.3,0.7,-,329.0
STEARIC ACID,PALMITIC ACID,-,0.3,0.7,-,329.06
TETRAPROPYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.446,0.554,-,329.18
PALMITIC ACID,LAURIC ACID,-,0.7,0.3,-,329.19
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.182,0.818,-,329.25
CHOLINE CHLORIDE,IMIDAZOLE,-,0.3,0.7,-,329.2686
TETRAMETHYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.3,0.7,-,329.4
THYMOL,STEARIC ACID,-,0.6,0.4,-,329.42
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.394,0.606,-,329.52
PALMITIC ACID,TETRADECANOIC ACID,-,0.697,0.303,-,329.63
STEARIC ACID,PALMITIC ACID,-,0.201,0.799,-,329.86
L-MENTHOL,PALMITIC ACID,-,0.3,0.7,-,329.91
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.403,0.597,-,329.98
STEARYL ALCOHOL,L-MENTHOL,-,0.9,0.1,-,330.1
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.667,0.333,-,330.15
1H-BENZOTRIAZOLIUM. 3-BUTYL-1-ETHYL-. HEXAFLUOROPHOSPHATE(1-) (1:1) (ACI),IMIDAZOLE,-,0.2,0.8,-,330.15
CHOLINE CHLORIDE,ITACONIC ACID,-,0.5,0.5,-,330.15
IRON(3+) TRICHLORIDE,BUTYLTRIPHENYLPHOSPHONIUM BROMIDE,-,0.5,0.5,-,330.16
TETRAMETHYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.201,0.799,-,330.2
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.15,0.85,-,330.28
STEARIC ACID,PALMITIC ACID,-,0.4,0.6,-,330.38
TETRAMETHYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.5,0.5,-,330.4
CHOLINE CHLORIDE,2.3-DIMETHYLPHENOL,-,0.4,0.6,-,330.5
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.302,0.698,-,330.55
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.319,0.681,-,330.58
STEARYL ALCOHOL,THYMOL,-,0.899,0.101,-,330.6
CHOLINE CHLORIDE,2.3-DIHYDROXYSUCCINIC ACID,-,0.6,0.4,-,330.62
STEARIC ACID,PALMITIC ACID,-,0.5,0.5,-,330.76
L-MENTHOL,STEARIC ACID,-,0.6,0.4,-,330.76
PALMITIC ACID,TETRADECANOIC ACID,-,0.748,0.252,-,330.77
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.201,0.799,-,330.81
STEARIC ACID,DECANOIC ACID,-,0.497,0.503,-,330.81
CHOLINE CHLORIDE,MALONIC ACID,-,0.296,0.704,-,330.868
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.503,0.497,-,330.98
CHOLINE CHLORIDE,PALMITIC ACID,-,0.4,0.6,-,331.03
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.203,0.797,-,331.12
CHOLINE CHLORIDE,D-SORBITOL,-,0.381,0.619,-,331.144
ZINCCHLORIDE,UREA,-,0.184,0.816,-,331.15
IBUPROFEN,PALMITIC ACID,-,0.6,0.4,-,331.22
PALMITIC ACID,DECANOIC ACID,-,0.802,0.198,-,331.23
TETRABUTYLAMMONIUM CHLORIDE,STEARYL ALCOHOL,-,0.8,0.2,-,331.3
TETRAMETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.301,0.699,-,331.36
IBUPROFEN,PALMITIC ACID,-,0.302,0.698,-,331.38
TETRABUTYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.107,0.893,-,331.4
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.502,0.498,-,331.402
TETRAMETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.402,0.598,-,331.46
METHYLTRIPHENYLPHOSPHONIUM BROMIDE,TRIFLUOROACETAMIDE,-,0.4,0.6,-,331.55
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.205,0.795,-,331.58
CHOLINE CHLORIDE,1-TETRADECANOL,-,0.505,0.495,-,331.62
THYMOL,PALMITIC ACID,-,0.21,0.79,-,331.72
PALMITIC ACID,LAURIC ACID,-,0.8,0.2,-,331.76
IBUPROFEN,LAURIC ACID,-,0.801,0.199,-,331.8
PALMITIC ACID,TETRADECANOIC ACID,-,0.798,0.202,-,331.87
STEARIC ACID,LAURIC ACID,-,0.5,0.5,-,331.93
CHOLINE CHLORIDE,PALMITIC ACID,-,0.366,0.634,-,331.95
TETRAPROPYLAMMONIUM BROMIDE,ADIPIC ACID,-,0.52,0.48,-,332.0
BETAINE,STEARYL ALCOHOL,-,0.1,0.9,-,332.1
ETHYLAMMONIUM CHLORIDE,UREA,-,0.741,0.259,-,332.107
TETRAPROPYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.307,0.693,-,332.15
CHOLINE CHLORIDE,HYDROQUINONE,-,0.5,0.5,-,332.16
TETRAMETHYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.1,0.9,-,332.2
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.15,0.85,-,332.2
L-MENTHOL,PALMITIC ACID,-,0.2,0.8,-,332.2
CHOLINE CHLORIDE,XYLITOL,-,0.294,0.706,-,332.296
TETRAMETHYLAMMONIUM CHLORIDE,1-HEXADECANOL,-,0.6,0.4,-,332.3
TETRAMETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.204,0.796,-,332.4
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.098,0.902,-,332.42
TETRAPROPYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.299,0.701,-,332.47
CHOLINE CHLORIDE,D-MANNOSE,-,0.501,0.499,-,332.52
IBUPROFEN,PALMITIC ACID,-,0.202,0.798,-,332.53
TETRABUTYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.897,0.103,-,332.6
SODIUM LAURATE,DECANOIC ACID,-,0.4,0.6,-,332.609
THYMOL,STEARIC ACID,-,0.5,0.5,-,332.62
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.199,0.801,-,332.69
TETRABUTYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.304,0.696,-,332.7
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.204,0.796,-,332.75
TETRAETHYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.309,0.691,-,332.78
L-MENTHOL,STEARIC ACID,-,0.5,0.5,-,332.85
PALMITIC ACID,DECANOIC ACID,-,0.879,0.121,-,332.87
PALMITIC ACID,TETRADECANOIC ACID,-,0.849,0.151,-,332.87
IRON(3+) TRICHLORIDE,CHOLINE CHLORIDE,-,0.298,0.702,-,332.9318
IRON(3+) TRICHLORIDE,CHOLINE CHLORIDE,-,0.212,0.788,-,332.9318
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.484,0.516,-,333.05
CHOLINE CHLORIDE,PALMITIC ACID,-,0.307,0.693,-,333.2
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.098,0.902,-,333.35
TETRAETHYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.288,0.712,-,333.35
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.068,0.932,-,333.396
TETRABUTYLAMMONIUM CHLORIDE,1-TETRADECANOL,-,0.896,0.104,-,333.4
L-MENTHOL,PALMITIC ACID,-,0.1,0.9,-,333.43
TETRAMETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.403,0.597,-,333.45
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.454,0.546,-,333.4789
CHOLINE CHLORIDE,GLUTARIC ACID,-,0.299,0.701,-,333.48
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,ETHYLENE GLYCOL,-,0.167,0.833,-,333.5
TETRAMETHYLAMMONIUM CHLORIDE,STEARYL ALCOHOL,-,0.305,0.695,-,333.5
TETRABUTYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.899,0.101,-,333.6
TETRAETHYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.451,0.549,-,333.62
STEARIC ACID,PALMITIC ACID,-,0.118,0.882,-,333.64
CHOLINE CHLORIDE,STEARYL ALCOHOL,-,0.567,0.433,-,333.68
IBUPROFEN,PALMITIC ACID,-,0.132,0.868,-,333.69
TETRABUTYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.8,0.2,-,333.7
CHOLINE CHLORIDE,PALMITIC ACID,-,0.256,0.744,-,333.75
STEARIC ACID,PALMITIC ACID,-,0.6,0.4,-,333.9
PALMITIC ACID,LAURIC ACID,-,0.9,0.1,-,333.95
IRON(3+) TRICHLORIDE,CHOLINE CHLORIDE,-,0.344,0.656,-,334.0227
PALMITIC ACID,TETRADECANOIC ACID,-,0.899,0.101,-,334.06
THYMOL,PALMITIC ACID,-,0.11,0.89,-,334.1
TETRAMETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.317,0.683,-,334.25
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.447,0.553,-,334.28
STEARIC ACID,DECANOIC ACID,-,0.605,0.395,-,334.28
BENZYLTRIPHENYLPHOSPHONIUM CHLORIDE,GLYCEROL,-,0.111,0.889,-,334.39
IBUPROFEN,PALMITIC ACID,-,0.704,0.296,-,334.48
TETRAPROPYLAMMONIUM CHLORIDE,LAURIC ACID,-,0.449,0.551,-,334.532
CHOLINE CHLORIDE,MALIC ACID,-,0.55,0.45,-,334.55
CHOLINE CHLORIDE,PALMITIC ACID,-,0.188,0.812,-,334.6
CHOLINE CHLORIDE,1-HEXADECANOL,-,0.583,0.417,-,334.62
1.10-PHENANTHROLINE,CHLOROTHYMOL,-,0.801,0.199,-,334.6694
THYMOL,STEARIC ACID,-,0.4,0.6,-,334.71
BETAINE,STEARYL ALCOHOL,-,0.2,0.8,-,334.8
STEARIC ACID,LAURIC ACID,-,0.6,0.4,-,334.86
TETRAETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.404,0.596,-,335.02
TETRAMETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.188,0.812,-,335.05
TETRAMETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.109,0.891,-,335.05
CHOLINE CHLORIDE,PALMITIC ACID,-,0.158,0.842,-,335.05
1.3-DITHIANE,1.4-DIIODOTETRAFLUOROBENZENE,-,0.74,0.26,-,335.05
CHOLINE CHLORIDE,IBUPROFEN,-,0.303,0.697,-,335.08
BETAINE,XYLITOL,-,0.35,0.65,-,335.08
CHOLINE CHLORIDE,L-MENTHOL,-,0.5,0.5,-,335.1
ZINCCHLORIDE,CHOLINE CHLORIDE,-,0.606,0.394,-,335.1136
ETHYLAMMONIUM CHLORIDE,ACETAMIDE,-,0.75,0.25,-,335.15
TETRAMETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.104,0.896,-,335.15
TETRACYCLINE,GLYCEROL,-,0.33,0.67,-,335.15
L-MENTHOL,STEARIC ACID,-,0.4,0.6,-,335.17
CHOLINE CHLORIDE,PHENOL,-,0.454,0.546,-,335.2
CHOLINE CHLORIDE,PALMITIC ACID,-,0.104,0.896,-,335.28
CHOLINE CHLORIDE,GLYCOLIC ACID,-,0.548,0.452,-,335.38
BETAINE,STEARYL ALCOHOL,-,0.3,0.7,-,335.4
PALMITIC ACID,TETRADECANOIC ACID,-,0.951,0.049,-,335.41
CHOLINE CHLORIDE,1-HEXADECANOL,-,0.591,0.409,-,335.42
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.104,0.896,-,335.55
TETRABUTYLAMMONIUM CHLORIDE,STEARIC ACID,-,0.2,0.8,-,335.6
NICOTINAMIDE,GLYCOLIC ACID,-,0.304,0.696,-,335.7143
TETRAETHYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.1,0.9,-,335.79
CHOLINE CHLORIDE,D-SORBITOL,-,0.566,0.434,-,335.938
IRON(3+) TRICHLORIDE,CHOLINE CHLORIDE,-,0.266,0.734,-,336.2045
TETRAETHYLAMMONIUM CHLORIDE,TETRADECANOIC ACID,-,0.39,0.61,-,336.25
TETRAPROPYLAMMONIUM CHLORIDE,PALMITIC ACID,-,0.099,0.901,-,336.45
